ID	TW	CN	JP	CP950	CP936	GB2312	GBK
333	5851	5851	5851	5851	5851	5851	5851
334	586B	586B	5861	586B	586B	586B	586B
335	5854	5854	5854	5854	5854	5854	5854
336	584A	5757	584A	584A	5757	5757	5757
337	5883	5883	5883	5883	5883	5883	5883
338	587E	587E	587E	587E	587E	587E	587E
339	5875	5C18		5875	5C18	5C18	5C18
340	588A	57AB		588A	57AB	57AB	57AB
341	5879	5811		5879	5811	5811	5811
342	589E	589E	5897	589E	589E	589E	589E
343	5880	5880		5880	5880	5880	5880
344	58B3	575F	58B3	58B3	575F	575F	575F
345	589C	5760	589C	589C	5760	5760	5760
346	58AE	5815	5815	58AE	5815	5815	5815
347	58C5	58C5		58C5	58C5	58C5	58C5
348	58BE	57A6	58BE	58BE	57A6	57A6	57A6
349	58D3	538B	5727	58D3	538B	538B	538B
350	58D9	5739		58D9	5739	5739	5739
351	58D8	5792	5841	58D8	5792	5792	5792
352	58DF	5784		58DF	5784	5784	5784
353	58E2	575C		58E2	575C	575C	575C
354	58E4	58E4	58CC	58E4	58E4	58E4	58E4
355	58EC	58EC		58EC	58EC	58EC	58EC
356	58EF	58EE	58EE	58EF	58EE	58EE	58EE
357	58FA	58F6		58FA	58F6	58F6	58F6
358	58FD	5BFF	5BFF	58FD	5BFF	5BFF	5BFF
359	5916	5916	5916	5916	5916	5916	5916
360	5919	5919		5919	5919	5919	5919
361	591A	591A	591A	591A	591A	591A	591A
362	591C	591C	591C	591C	591C	591C	591C
363	5920	591F		5920	591F	591F	591F
364	5924	5924		5924	5924	5924	5924
365	5925	5925		5925	5925	5925	5925
366	5922	68A6	5922	5922	68A6	68A6	68A6
367	5927	5927	5927	5927	5927	5927	5927
368	4F15	4F15		4F15	4F15		4F15
369	5929	5929	5929	5929	5929	5929	5929
370	5937	5937		5937	5937	5937	5937
371	593E	5939		593E	5939	5939	5939
372	5954	5954	5954	5954	5954	5954	5954
373	5949	5949	5949	5949	5949	5949	5949
374	5948	5948	5948	5948	5948	5948	5948
375	5947	5947	5947	5947	5947	5947	5947
376	5951	5951	5951	5951	5951	5951	5951
377	594E	594E		594E	594E	594E	594E
378	5950	5942		5950	5942	5942	5942
379	5957	5957		5957	5957	5957	5957
380	5962	5962		5962	5962	5962	5962
381	5967	5965	5965	5967	5965	5965	5965
382	596A	593A	596A	596A	593A	593A	593A
383	596E	594B	596E	596E	594B	594B	594B
384	5973	5973	5973	5973	5973	5973	5973
385	5974	5974	5974	5974	5974	5974	5974
386	5984	5984	5984	5984	5984	5984	5984
387	5978	5978		5978	5978	5978	5978
388	597D	597D	597D	597D	597D	597D	597D
389	59A8	59A8	59A8	59A8	59A8	59A8	59A8
390	59A4	59A4		59A4	59A4	59A4	59A4
391	59A3	59A3		59A3	59A3	59A3	59A3
