6DFB	6C97
6E05	6DF8
6E19	2404A
6E19	6DA3
6E1B	51CF
6E21	23CE5
6E24	3D3E
6E2C	24084
6E2C	6D4B
6E2F	23FD1
6E2F	2F908
6E34	6E07
6E3A	23E8C
6E3E	23E6B
6E3E	6D51
6E4D	6F19
6E54	23F85
6E5B	3D34
6E67	6D8C
6E6F	6C64
6E89	6F11
6E90	53B5
6E96	51C6
6E96	51D6
6E98	23A44
6E9C	6F91
6E9D	6C9F
6EA2	3CD1
6EAA	6E13
6EAB	6E29
6EAF	6CDD
6EAF	6EB8
6EAF	9061
6EB6	23D5E
6EC2	6C78
6EC4	6CA7
6EC5	34D5
6EC5	706D
6EC7	2F90C
6ECB	6FE8
6ED4	3D1E
6EEC	6CAA
6EEF	6EDE
6EF2	6E17
6EF4	6EF3
6EFE	6EDA
6EFF	6E80
6EFF	6EE1
6F01	6E14
6F02	3D71
6F15	2414D
6F20	25553
6F22	6C49
6F23	6D9F
6F2C	6D13
6F2C	6E0D
6F31	6F44
6F32	6DA8
6F32	6DB1
6F38	6E10
6F3E	7001
6F3F	6D46
6F51	6CFC
6F54	6D01
6F54	6D2F
6F5B	6F5C
6F5B	6FF3
6F64	6DA6
6F6E	23D83
6F70	6E83
6F7A	6F79
6F84	6F82
6F84	7013
6F86	23DDD
6F86	6D47
6F97	3D4E
6F97	6DA7
6FA1	3D55
6FA4	6CA2
6FA4	6CFD
6FB3	2404C
6FC1	6D4A
6FC3	2414C
6FC3	6D53
6FD5	23EAF
6FD5	6E7F
6FD5	6EBC
6FD8	6CDE
6FDF	3D09
6FDF	6CF2
6FDF	6D4E
6FDF	6E08
6FE1	23F48
6FE4	6D9B
6FF1	23D29
6FF1	6D5C
6FF1	6EE8
6FF1	6FF5
6FFA	6E85
6FFE	6EE4
7006	6E0E
7009	6CFB
700F	24109
700F	56A0
700F	6D4F
701D	6CA5
701F	6F47
7028	6FD1
7028	702C
703E	6F9C
703E	7061
704C	6F45
7058	6EE9
7058	6F6C
7063	6E7E
7070	2F835
7076	7AC3
7076	7AC8
7078	24190
708E	2418C
7092	3DA4
7092	717C
7095	531F
7099	26721
70AD	21D7C
70AF	70F1
70B3	661E
70BA	4E3A
70BA	7232
70C8	70EE
70CF	4E4C
70D8	7074
70FD	3DBB
7119	242B7
711A	3DCA
711A	71CC
711A	71D4
7121	3DFB
7121	65E0
7130	3DD4
7130	7213
7136	562B
714C	4A84
714E	3DD9
715C	7134
7165	7115
7167	3DD6
7167	70A4
7169	70E6
716E	7151
717D	5093
718A	3DF1
71A8	2308A
71AC	2A311
71B1	70ED
71BE	229FE
71BE	27E79
71BE	70BD
71CE	3DAB
71CE	5C1E
71D2	70E7
71D2	713C
71D9	70EB
71DC	7116
71DF	55B6
71DF	8425
71E6	707F
71E7	2447E
71E7	3E02
71ED	70DB
71ED	7225
71EE	3E09
71EE	7215
71F4	70E9
720D	244C8
720D	70C1
721B	243D0
721B	70C2
721B	7224
722A	355A
722D	4E89
7238	24555
723A	24553
723A	7237
724C	245CB
7252	245CA
7256	245F1
7258	24604
7258	724D
7259	24608
725D	24625
725F	220F7
7261	246B4
7262	7A82
7267	24634
7279	7286
727D	7275
7280	2468C
7281	7282
7296	2555A
7296	8366
729B	6C02
729B	7266
72A2	728A
72A7	23698
72A7	727A
72A7	72A0
72AF	24751
72C0	72B6
72C2	22687
72D0	27CB2
72D7	3E83
72E1	247CB
72E9	292A6
72F7	7367
72FD	72C8
7319	72F0
731B	52D0
7329	72CC
7334	3E85
7336	72B9
733F	247D7
733F	7328
7344	2122D
7344	72F1
7345	24733
7345	72EE
7368	2489C
7368	72EC
7370	72DE
7375	730E
7375	731F
7377	248CA
7377	72B7
7378	2489A
7378	517D
7378	7363
737A	3E9A
737A	736D
737B	732E
7380	7321
7384	241E1
7396	248F5
739F	73C9
73A8	73CF
73A8	7474
73AB	3EB3
73B2	24AE9
73B2	F9AD
73C0	7836
73CA	24A40
73ED	249A6
73FE	73B0
7403	6BEC
740A	7458
7433	73AA
7434	4945
7434	4946
7434	73E1
7434	7439
7435	249F0
7436	249F2
743F	249B3
743F	73F2
7441	8750
7459	78AF
745A	24908
745F	3ECE
7463	7410
7464	7476
746A	739B
7470	749D
7483	74C8
74A3	3F04
74A3	7391
74A6	7477
74B0	24A14
74B0	73AF
74CF	73D1
74E0	24B17
74E2	24B21
74F7	7506
750C	74EF
7515	74EE
7518	20678
751F	24BD3
7522	4EA7
7522	7523
7525	3F52
7528	24C06
7531	489F
7532	201DA
7533	24C36
7537	4FBD
754C	583A
754C	754D
754F	24C35
7559	3F56
7559	3F5E
7559	7544
755A	24C99
755C	24815
755D	3F57
755D	4EA9
755D	7542
755D	7546
755D	756E
7562	24C9C
7562	6BD5
7566	3F6F
756B	753B
756B	7575
7570	22116
7570	5F02
7586	58C3
7587	7574
758A	2320D
758A	53E0
758A	7573
758A	8FED
758F	758E
758F	8E08
759A	374C
75A5	24E0B
75BC	2666D
75BE	2457A
75D4	24E1F
75D9	75C9
75DE	8134
75E3	43EF
75F1	24DC2
75F2	75F3
75FF	24E06
7600	24DE0
7601	75A9
760B	75AF
7613	24EE8
7613	75EA
7620	3F8A
7621	75AE
7624	7645
7627	759F
7642	24EF2
7642	7597
7646	75E8
7658	75A0
7661	75F4
7665	3FC2
7665	75C7
7669	765E
766C	3F8C
766C	7663
7671	762B
7672	766B
7678	24F29
767B	24F2A
767B	24F37
767D	268FA
767E	4F70
7684	65F3
7686	2315C
7687	26903
7688	7688
768E	6648
7693	66A0
7696	6665
769A	2911F
769A	7691
76AE	25B16
76BA	76B1
76C2	2F93D
76C3	76C3
76C6	74EB
76C8	21EA1
76CD	76C7
